"SERNO","RadmonID","MACID","RadiationLevel","Location","Department","RadiationStatus","DateTime","RecordNo","RadmonType","Temperature","BatteryVoltage","BatteryCurrent","Health","DataString","RadiationCPM","Dummy","Mdate"
"268713","26",NULL,"67","Cirus","RSSD","48","2018-06-22 10:02:20","26552",NULL,NULL,NULL,NULL,NULL," 26552,26,48,67,22/6/2018 10:2:20",NULL,NULL,"2018-07-03 08:16:41"
"268714","26",NULL,"92","Cirus","RSSD","48","2018-06-22 10:04:20","26553",NULL,NULL,NULL,NULL,NULL," 26553,26,48,92,22/6/2018 10:4:20",NULL,NULL,"2018-07-03 08:16:42"
"268715","26",NULL,"84","Cirus","RSSD","48","2018-06-22 10:06:20","26554",NULL,NULL,NULL,NULL,NULL," 26554,26,48,84,22/6/2018 10:6:20",NULL,NULL,"2018-07-03 08:16:42"
"268716","26",NULL,"87","Cirus","RSSD","48","2018-06-22 10:08:20","26555",NULL,NULL,NULL,NULL,NULL," 26555,26,48,87,22/6/2018 10:8:20",NULL,NULL,"2018-07-03 08:16:42"
"268717","26",NULL,"86","Cirus","RSSD","48","2018-06-22 10:10:20","26556",NULL,NULL,NULL,NULL,NULL," 26556,26,48,86,22/6/2018 10:10:20",NULL,NULL,"2018-07-03 08:16:43"
"268718","26",NULL,"69","Cirus","RSSD","48","2018-06-22 10:12:20","26557",NULL,NULL,NULL,NULL,NULL," 26557,26,48,69,22/6/2018 10:12:20",NULL,NULL,"2018-07-03 08:16:43"
"268719","26",NULL,"101","Cirus","RSSD","48","2018-06-22 10:14:20","26558",NULL,NULL,NULL,NULL,NULL," 26558,26,48,101,22/6/2018 10:14:20",NULL,NULL,"2018-07-03 08:16:43"
"268720","26",NULL,"111","Cirus","RSSD","48","2018-06-22 10:16:20","26559",NULL,NULL,NULL,NULL,NULL," 26559,26,48,111,22/6/2018 10:16:20",NULL,NULL,"2018-07-03 08:16:43"
"268721","26",NULL,"83","Cirus","RSSD","48","2018-06-22 10:18:20","26560",NULL,NULL,NULL,NULL,NULL," 26560,26,48,83,22/6/2018 10:18:20",NULL,NULL,"2018-07-03 08:16:44"
"268722","26",NULL,"107","Cirus","RSSD","48","2018-06-22 10:20:20","26561",NULL,NULL,NULL,NULL,NULL," 26561,26,48,107,22/6/2018 10:20:20",NULL,NULL,"2018-07-03 08:16:44"
"268723","26",NULL,"138","Cirus","RSSD","48","2018-06-22 10:22:20","26562",NULL,NULL,NULL,NULL,NULL," 26562,26,48,138,22/6/2018 10:22:20",NULL,NULL,"2018-07-03 08:16:44"
"268724","26",NULL,"127","Cirus","RSSD","48","2018-06-22 10:24:20","26563",NULL,NULL,NULL,NULL,NULL," 26563,26,48,127,22/6/2018 10:24:20",NULL,NULL,"2018-07-03 08:16:44"
"268725","26",NULL,"91","Cirus","RSSD","48","2018-06-22 10:26:20","26564",NULL,NULL,NULL,NULL,NULL," 26564,26,48,91,22/6/2018 10:26:20",NULL,NULL,"2018-07-03 08:16:45"
"268726","26",NULL,"90","Cirus","RSSD","48","2018-06-22 10:28:20","26565",NULL,NULL,NULL,NULL,NULL," 26565,26,48,90,22/6/2018 10:28:20",NULL,NULL,"2018-07-03 08:16:45"
"268727","26",NULL,"114","Cirus","RSSD","48","2018-06-22 10:30:20","26566",NULL,NULL,NULL,NULL,NULL," 26566,26,48,114,22/6/2018 10:30:20",NULL,NULL,"2018-07-03 08:16:46"
"268728","26",NULL,"97","Cirus","RSSD","48","2018-06-22 10:32:20","26567",NULL,NULL,NULL,NULL,NULL," 26567,26,48,97,22/6/2018 10:32:20",NULL,NULL,"2018-07-03 08:16:46"
"268729","26",NULL,"91","Cirus","RSSD","48","2018-06-22 10:34:20","26568",NULL,NULL,NULL,NULL,NULL," 26568,26,48,91,22/6/2018 10:34:20",NULL,NULL,"2018-07-03 08:16:46"
"268730","26",NULL,"105","Cirus","RSSD","48","2018-06-22 10:36:20","26569",NULL,NULL,NULL,NULL,NULL," 26569,26,48,105,22/6/2018 10:36:20",NULL,NULL,"2018-07-03 08:16:46"
"268731","26",NULL,"89","Cirus","RSSD","48","2018-06-22 10:38:20","26570",NULL,NULL,NULL,NULL,NULL," 26570,26,48,89,22/6/2018 10:38:20",NULL,NULL,"2018-07-03 08:16:47"
"268732","26",NULL,"78","Cirus","RSSD","48","2018-06-22 10:40:20","26571",NULL,NULL,NULL,NULL,NULL," 26571,26,48,78,22/6/2018 10:40:20",NULL,NULL,"2018-07-03 08:16:47"
"268733","26",NULL,"51","Cirus","RSSD","48","2018-06-22 10:42:20","26572",NULL,NULL,NULL,NULL,NULL," 26572,26,48,51,22/6/2018 10:42:20",NULL,NULL,"2018-07-03 08:16:47"
"268734","26",NULL,"100","Cirus","RSSD","48","2018-06-22 10:44:20","26573",NULL,NULL,NULL,NULL,NULL," 26573,26,48,100,22/6/2018 10:44:20",NULL,NULL,"2018-07-03 08:16:48"
"268735","26",NULL,"97","Cirus","RSSD","48","2018-06-22 10:46:20","26574",NULL,NULL,NULL,NULL,NULL," 26574,26,48,97,22/6/2018 10:46:20",NULL,NULL,"2018-07-03 08:16:48"
"268736","26",NULL,"97","Cirus","RSSD","48","2018-06-22 10:46:20","26574",NULL,NULL,NULL,NULL,NULL," 26574,26,48,97,22/6/2018 10:46:20",NULL,NULL,"2018-07-03 08:16:48"
"268737","26",NULL,"63","Cirus","RSSD","48","2018-06-22 10:48:20","26575",NULL,NULL,NULL,NULL,NULL," 26575,26,48,63,22/6/2018 10:48:20",NULL,NULL,"2018-07-03 08:16:48"
"268738","26",NULL,"84","Cirus","RSSD","48","2018-06-22 10:50:20","26576",NULL,NULL,NULL,NULL,NULL," 26576,26,48,84,22/6/2018 10:50:20",NULL,NULL,"2018-07-03 08:16:49"
"268739","26",NULL,"52","Cirus","RSSD","48","2018-06-22 10:52:20","26577",NULL,NULL,NULL,NULL,NULL," 26577,26,48,52,22/6/2018 10:52:20",NULL,NULL,"2018-07-03 08:16:49"
"268740","26",NULL,"41","Cirus","RSSD","48","2018-06-22 10:54:20","26578",NULL,NULL,NULL,NULL,NULL," 26578,26,48,41,22/6/2018 10:54:20",NULL,NULL,"2018-07-03 08:16:49"
"268741","26",NULL,"105","Cirus","RSSD","48","2018-06-22 10:56:20","26579",NULL,NULL,NULL,NULL,NULL," 26579,26,48,105,22/6/2018 10:56:20",NULL,NULL,"2018-07-03 08:16:50"
"268742","26",NULL,"84","Cirus","RSSD","48","2018-06-22 10:58:20","26580",NULL,NULL,NULL,NULL,NULL," 26580,26,48,84,22/6/2018 10:58:20",NULL,NULL,"2018-07-03 08:16:50"
"268743","26",NULL,"102","Cirus","RSSD","48","2018-06-22 11:00:20","26581",NULL,NULL,NULL,NULL,NULL," 26581,26,48,102,22/6/2018 11:0:20",NULL,NULL,"2018-07-03 08:16:50"
"268744","26",NULL,"54","Cirus","RSSD","48","2018-06-22 11:02:20","26582",NULL,NULL,NULL,NULL,NULL," 26582,26,48,54,22/6/2018 11:2:20",NULL,NULL,"2018-07-03 08:16:51"
"268745","26",NULL,"80","Cirus","RSSD","48","2018-06-22 11:04:20","26583",NULL,NULL,NULL,NULL,NULL," 26583,26,48,80,22/6/2018 11:4:20",NULL,NULL,"2018-07-03 08:16:51"
"268746","26",NULL,"106","Cirus","RSSD","48","2018-06-22 11:06:20","26584",NULL,NULL,NULL,NULL,NULL," 26584,26,48,106,22/6/2018 11:6:20",NULL,NULL,"2018-07-03 08:16:51"
"268747","26",NULL,"68","Cirus","RSSD","48","2018-06-22 11:08:20","26585",NULL,NULL,NULL,NULL,NULL," 26585,26,48,68,22/6/2018 11:8:20",NULL,NULL,"2018-07-03 08:16:51"
"268748","26",NULL,"83","Cirus","RSSD","48","2018-06-22 11:10:20","26586",NULL,NULL,NULL,NULL,NULL," 26586,26,48,83,22/6/2018 11:10:20",NULL,NULL,"2018-07-03 08:16:52"
"268749","26",NULL,"91","Cirus","RSSD","48","2018-06-22 11:12:20","26587",NULL,NULL,NULL,NULL,NULL," 26587,26,48,91,22/6/2018 11:12:20",NULL,NULL,"2018-07-03 08:16:52"
"268750","26",NULL,"74","Cirus","RSSD","48","2018-06-22 11:14:20","26588",NULL,NULL,NULL,NULL,NULL," 26588,26,48,74,22/6/2018 11:14:20",NULL,NULL,"2018-07-03 08:16:52"
"268751","26",NULL,"62","Cirus","RSSD","48","2018-06-22 11:16:20","26589",NULL,NULL,NULL,NULL,NULL," 26589,26,48,62,22/6/2018 11:16:20",NULL,NULL,"2018-07-03 08:16:52"
"268752","26",NULL,"92","Cirus","RSSD","48","2018-06-22 11:18:20","26590",NULL,NULL,NULL,NULL,NULL," 26590,26,48,92,22/6/2018 11:18:20",NULL,NULL,"2018-07-03 08:16:53"
"268753","26",NULL,"101","Cirus","RSSD","48","2018-06-22 11:20:20","26591",NULL,NULL,NULL,NULL,NULL," 26591,26,48,101,22/6/2018 11:20:20",NULL,NULL,"2018-07-03 08:16:53"
"268754","26",NULL,"112","Cirus","RSSD","48","2018-06-22 11:22:20","26592",NULL,NULL,NULL,NULL,NULL," 26592,26,48,112,22/6/2018 11:22:20",NULL,NULL,"2018-07-03 08:16:53"
"268755","26",NULL,"87","Cirus","RSSD","48","2018-06-22 11:24:20","26593",NULL,NULL,NULL,NULL,NULL," 26593,26,48,87,22/6/2018 11:24:20",NULL,NULL,"2018-07-03 08:16:53"
